Predicted,Target,Category,Problem
700 m,280,physics,a train passes a station platform in 36 sec and a man standing on the platform in 20 sec . if the speed of the train is 63 km / hr . what is the length of the platform ?
3,3,gain,machine a and machine b are each used to manufacture 330 sprockets . it takes machine a 10 hours longer to produce 330 sprockets than machine b . machine b produces 10 percent more sprockets per hour than machine a . how many sprockets per hour does machine a produces ?
6,6,other,"if the ratio of the sum of the first 6 terms of a g . p . to the sum of the first 3 terms of the g . p . is 217 , what is the common ratio of the g . p ?"
1/2,1/2,probability,"given a bag with 2 red balls and 3 yellow balls , you randomly select one of them , in order . if the second ball you take is yellow , what is the probability that the first one was also yellow ?"
15/28,15/28,probability,"a bag contains 3 blue and 5 white marbles . one by one , marbles are drawn out randomly until only two are left in the bag . what is the probability that out of the two , one is white and one is blue ?"
103,720,probability,in how many ways can 7 boys be seated in a circular order ?
1/4,1/4,probability,a coin is tossed 4 times . what is the probability of getting exactly 3 heads ?
0.266,0.266,probability,a number is selected at random from the first 30 natural numbers . what is the probability that the number is a multiple of either 5 or 12 ?
4/13,4/13,probability,"if a card is drawn from a well shuffled pack of cards , the probability of drawing a spade or a king is -"
2/30000,2/30000,probability,"a certain junior class has 1000 students and a certain senior class has 900 students . among these students , there are 60 siblings pairs each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected will be a sibling pair ?"
1/256,1/64,probability,"what is the probability that the sum of two dice will yield a 9 , and then when both are thrown again , their sum will again yield a 9 ? assume that each die has 8 sides with faces numbered 1 to 8 ."
1/216,1/216,probability,4 dice are thrown simultaneously on the board . find the probability that they show the same face .
3/13,3/13,probability,"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a jack , queen , or king is drawn ?"
5/6,none of these,probability,in a throw of dice what is the probability of getting number greater than 1?
6,6,probability,"there are 18 balls in a jar . you take out 3 blue balls without putting them back inside , and now the probability of pulling out a blue ball is 1/5 . how many blue balls were there in the beginning ?"
60%,25%,probability,"the maitre ' d at an expensive manhattan restaurant has noticed that 60% of the couples order dessert and coffee . however , 20% of the couples who order dessert don't order coffee . what is the probability 'w' that the next couple the maitre ' d seats will not order dessert ?"
576,576,geometry,"a rectangular floor that measures 24 meters by 64 meters is to be covered with carpet squares that each measure 8 meters by 8 meters . if the carpet squares cost 24 a piece , what is the total cost for the number of carpet squares needed to cover the floor ?"
3600,3300,geometry,"a rectangular lawn of dimensions 80 m * 40 m has two roads, each 10 m wide running in the middle of the lawn , one parallel to the length and the other parallel to the breadth . what is the cost of traveling the two roads at 3 per sq m ?"
1/25,1/25,geometry,"if the sides of a square are multiplied by 5 , the area of the original square is how many times as large as the area of the resultant square ?"
64,64,geometry,a cubical block of metal weighs 8 pounds . how much will another cube of the same metal weigh if its sides are twice as long ?
10 pi feet,10 pi feet,geometry,"if the area of a circle is 25 pi square feet , find its circumference ."
72.25,56.25,geometry,"the sides of a square region , measured to the nearest centimeter , are 9 centimeters long . the least possible value of the actual area of the square region is?"
8,8,geometry,"the area of a rhombus is equal to the area of a square whose side length is 8 cm . if one of the diagonals is 16 cm, what is the length of other diagonal ?"
5/42,9/14,probability,"if an integer 'n' is to be chosen at random from the integers 1 to 84 , inclusive , what is the probability that n ( n + 1 ) ( n + 2 ) will be divisible by 8 ?"
16/495,16/33,probability,"if 4 people are selected from a group of 6 married couples , what is the probability that none of them would be married to each other ?"
24,24,probability,in how many ways can 5 people be arranged in a circle ?
17/72,1/5,probability,"a certain club has 10 members , including parry . one of the 10 members is chosen at random to be the president , one of the remaining 9 members is to be chosen at random to be the secretary , and one of the remaining 8 members is to be chosen at random to be the treasurer . what is the probability that parry will be either the member chosen to be secretary or the member chosen to be treasurer ?"
72%,54%,probability,"there is a 30% chance sandy will visit china this year , while there is a 60% chance that she will visit malaysia this year . what is the probability that sandy will visit either china or malaysia this year , but not both ?"
1/15,1/15,probability,"kim has 8 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 16 shoes , what is the probability that she will select 2 shoes of the same color ?"
57/494,3/20,probability,"a bag contains 20 red jellybeans and 20 blue jellybeans . if 3 jellybeans are removed one at a time , at random and are not replaced , what is the probability that all 3 jellybeans removed from the bag are blue ?"
1/72,1/3,probability,"a bag contains 2 white marbles and 2 black marbles . if each of 2 girls and 2 boys randomly selects and keeps a marble , what is the probability that all of the girls select the same colored marble ?"
31.4,31.4,geometry,"a circular well with a diameter of 2 metres , is dug to a depth of 10 metres . what is the volume of the earth dug out ?"
156,156,geometry,if the radius of a circle is increased by 60% then the area is increased by ?
84,84,geometry,"the length of a rectangle is 2/5 of the radius of a circle . the radius of the circle is equal to the side of the square , whose area is 1225 sq . units . what is the area ( in sq . units ) of the rectangle if the breadth is 6 units ?"
no solution,55,geometry,"in a certain parallelogram, the degree measure of one angle exceeds that of the other by 70. what is the degree measure of the smaller angle ?"
0.6,0.6,probability,"in the graduating class of a certain college , 48 percent of the students are male and 52 percent are female . in this class, 40 percent of the male and 40 percent of the female students are 25 years old or older . if one student in the class is randomly selected , approximately what is the probability that he or she will be less than 25 years old ?"
3/8,1/2,probability,"when 3 fair coins are tossed together , what is the probability of getting 2 tails ?"
